Vin3	V(out3)
-3.000000000000000e+00	-2.999995e+00
-2.500000000000000e+00	-2.499995e+00
-2.000000000000000e+00	-1.999996e+00
-1.500000000000000e+00	-1.499997e+00
-1.000000000000000e+00	-9.999982e-01
-5.000000000000000e-01	-4.999991e-01
0.000000000000000e+00	-1.851313e-14
5.000000000000000e-01	4.999991e-01
1.000000000000000e+00	9.999982e-01
1.500000000000000e+00	1.499997e+00
2.000000000000000e+00	1.999996e+00
2.500000000000000e+00	2.499995e+00
3.000000000000000e+00	2.999995e+00
