Freq.	V(out3)
1.17383383383383e+02	7.25523223801533e-01,7.82560657984799e-01
1.17882882882883e+02	7.34436040115505e-01,7.83186099745692e-01
1.18382382382382e+02	7.43237910316292e-01,7.83703807176366e-01
1.18881881881882e+02	7.51929451337181e-01,7.84117755257646e-01
1.19381381381381e+02	7.60511342946063e-01,7.84431796239455e-01
1.19880880880881e+02	7.68984322553515e-01,7.84649662333601e-01
1.20380380380380e+02	7.77349180313495e-01,7.84774968446448e-01
1.20879879879880e+02	7.85606754503932e-01,7.84811214939745e-01
1.21379379379379e+02	7.93757927174757e-01,7.84761790409024e-01
1.21878878878879e+02	8.01803620051241e-01,7.84629974470047e-01
1.22378378378378e+02	8.09744790680743e-01,7.84418940544686e-01
1.22877877877878e+02	8.17582428811383e-01,7.84131758638592e-01
1.23377377377377e+02	8.25317552991441e-01,7.83771398103747e-01
1.23876876876877e+02	8.32951207378635e-01,7.83340730379834e-01
1.24376376376376e+02	8.40484458748881e-01,7.82842531709000e-01
1.24875875875876e+02	8.47918393694398e-01,7.82279485819278e-01
1.25375375375375e+02	8.55254116001460e-01,7.81654186572503e-01
1.25874874874875e+02	8.62492744198469e-01,7.80969140573111e-01
1.26374374374374e+02	8.69635409265369e-01,7.80226769734693e-01
1.26873873873874e+02	8.76683252495807e-01,7.79429413801660e-01
1.27373373373373e+02	8.83637423503812e-01,7.78579332823764e-01
1.27872872872873e+02	8.90499078367098e-01,7.77678709581606e-01
1.28372372372372e+02	8.97269377899474e-01,7.76729651961604e-01
1.28871871871872e+02	9.03949486045175e-01,7.75734195279220e-01
1.29371371371371e+02	9.10540568388248e-01,7.74694304549499e-01
1.29870870870871e+02	9.17043790770448e-01,7.73611876704253e-01
1.30370370370370e+02	9.23460318011457e-01,7.72488742755436e-01
1.30869869869870e+02	9.29791312725471e-01,7.71326669904467e-01
1.31369369369369e+02	9.36037934228540e-01,7.70127363597446e-01
1.31868868868869e+02	9.42201337531319e-01,7.68892469526357e-01
1.32368368368368e+02	9.48282672412133e-01,7.67623575576529e-01
1.32867867867868e+02	9.54283082565585e-01,7.66322213720718e-01
1.33367367367367e+02	9.60203704822069e-01,7.64989861860297e-01
1.33866866866867e+02	9.66045668433927e-01,7.63627945614178e-01
1.34366366366366e+02	9.71810094424109e-01,7.62237840056120e-01
1.34865865865866e+02	9.77498094993481e-01,7.60820871401198e-01
