V1	V(vce)
0.000000000000000e+00	5.000000e+00
1.000000000000000e-01	5.000000e+00
2.000000000000000e-01	5.000000e+00
3.000000000000000e-01	5.000000e+00
4.000000000000000e-01	5.000000e+00
5.000000000000000e-01	4.999995e+00
6.000000000000001e-01	4.999763e+00
7.000000000000001e-01	4.990553e+00
8.000000000000000e-01	4.908187e+00
9.000000000000000e-01	4.758267e+00
1.000000000000000e+00	4.586088e+00
